Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Translate ""Watermark alignment ""page into Chinese",FLINK-35260,13577510,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,maomao,maomao,29/Apr/24 02:20,29/Apr/24 02:23,04/Jun/24 20:40,,1.19.0,,,,,,,,,,,chinese-translation,Documentation,,,0,,,"Watermark alignment lack of chinese translation

!image-2024-04-29-10-21-00-565.png|width=408,height=215!",,,,,,,,,,,,,,,,,,,,,,,,,,"29/Apr/24 02:21;maomao;image-2024-04-29-10-21-00-565.png;https://issues.apache.org/jira/secure/attachment/13068525/image-2024-04-29-10-21-00-565.png",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Apr 29 02:22:50 UTC 2024,,,,,,,,,,"0|z1ox68:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Apr/24 02:22;maomao;[https://nightlies.apache.org/flink/flink-docs-release-1.19/zh/docs/dev/datastream/event-time/generating_watermarks/]

could you assign this to me?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlinkCDC Pipeline transform can't deal timestamp field,FLINK-35259,13577486,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,wink,wink,wink,28/Apr/24 13:35,17/May/24 03:24,04/Jun/24 20:40,17/May/24 03:24,cdc-3.1.0,,,,,,,,cdc-3.1.0,,,Flink CDC,,,,0,pull-request-available,,"When the original table contains fields of type Timestamp, it cannot be converted properly.

When the added calculation columns contain fields of type Timestamp, it cannot be converted properly.",,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Apr 29 03:33:25 UTC 2024,,,,,,,,,,"0|z1ox0w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Apr/24 03:33;renqs;flink-cdc master: 0108d0e5d18c55873c3d67e9caad58b9d2148d6a

release-3.1: e022f4d2592dedc6d570948213fd07f47c1e505c;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Broken links to Doris in Flink CDC Documentation,FLINK-35258,13577468,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,xiqian_yu,renqs,renqs,28/Apr/24 07:59,29/Apr/24 02:30,04/Jun/24 20:40,29/Apr/24 02:30,cdc-3.1.0,,,,,,,,cdc-3.1.0,,,Flink CDC,,,,0,pull-request-available,,"These broken links are detected by CI: 
 
{code:java}
ERROR: 3 dead links found!
535  [✖] https://doris.apache.org/zh-CN/docs/dev/sql-manual/sql-reference/Data-Manipulation-Statements/Load/STREAM-LOAD/ → Status: 404
536  [✖] https://doris.apache.org/zh-CN/docs/dev/sql-manual/sql-reference/Data-Definition-Statements/Create/CREATE-TABLE/ → Status: 404
537  [✖] https://doris.apache.org/docs/dev/sql-manual/sql-reference/Data-Types/BOOLEAN/ → Status: 404 


ERROR: 3 dead links found!
1008  [✖] https://doris.apache.org/zh-CN/docs/dev/sql-manual/sql-reference/Data-Manipulation-Statements/Load/STREAM-LOAD/ → Status: 404
1009  [✖] https://doris.apache.org/zh-CN/docs/dev/sql-manual/sql-reference/Data-Definition-Statements/Create/CREATE-TABLE/ → Status: 404
1010  [✖] https://doris.apache.org/docs/dev/sql-manual/sql-reference/Data-Types/BOOLEAN/ → Status: 404{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Apr 29 02:29:41 UTC 2024,,,,,,,,,,"0|z1owww:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Apr/24 02:29;renqs;flink-cdc master: a513e9f82e815409a8c91bdc999196d1658137f0

release-3.1: 65a6880e9c67c1dcc2ac506334c475583f6f86b1

release-3.0: 326739905ab8152cbde8289a9f29f18e25a016b7;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimize the handling of schema.change.behavior as EXCEPTION,FLINK-35257,13577463,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,yanghuai,yanghuai,28/Apr/24 06:36,28/Apr/24 06:42,04/Jun/24 20:40,,,,,,,,,,,,,Flink CDC,,,,0,,,"cdc job will throw exception when schema.change.behavior is exception，The data between the last checkpoint and the current DDL will not be refreshed to the sink, making it difficult for the task to recover this part of the data.
if the sink will flush all data and then throw an exception. This way, the task only needs to recover from the DDL position on the source to ensure data consistency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Apr 28 06:42:12 UTC 2024,,,,,,,,,,"0|z1owvs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Apr/24 06:42;yanghuai;if schema.change.behavior is EXCEPTION，just throw exception before com.ververica.cdc.runtime.operators.schema.coordinator.SchemaRegistryRequestHandler#applySchemaChange;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline transform ignores column type nullability,FLINK-35256,13577462,,Improvement,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,xiqian_yu,xiqian_yu,xiqian_yu,28/Apr/24 06:35,29/Apr/24 02:23,04/Jun/24 20:40,29/Apr/24 02:23,,,,,,,,,cdc-3.1.0,,,Flink CDC,,,,0,pull-request-available,,"Flink CDC 3.1.0 brought transform feature, allowing column type / value transformation prior to data routing process. However after the transformation, column type marked as `NOT NULL` lost their annotation, causing some downstream sinks to fail since they require primary key to be NOT NULL.

Here's the minimum reproducible example about this problem:

```yaml
source:
type: mysql
...

sink:
type: starrocks
name: StarRocks Sink
...

pipeline:
name: Sync MySQL Database to StarRocks
parallelism: 4

transform:
 - source-table: reicigo.\.*
projection: ID, UPPER(ID) AS UPID

```

In the MySQL source table, primary key column `ID` is marked as `NOT NULL`, but such information was lost at downstream, causing the following exception (see attachment).",,,,,,,,,,,,,,,,,,,,,,,,,,"28/Apr/24 06:35;xiqian_yu;log.txt;https://issues.apache.org/jira/secure/attachment/13068504/log.txt",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Apr 28 13:16:48 UTC 2024,,,,,,,,,,"0|z1owvk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Apr/24 13:16;renqs;flink-cdc master: 6258bec5bb31533c501bedffef36805b0fd95cf5

flink-cdc release-3.1: de19f7bc6d2745930995846fdfbc6c6b60de5f74;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSinkWriterOperator should override snapshotState and processWatermark method,FLINK-35255,13577460,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,yanghuai,yanghuai,yanghuai,28/Apr/24 06:14,29/Apr/24 07:24,04/Jun/24 20:40,29/Apr/24 07:24,,,,,,,,,cdc-3.1.0,,,Flink CDC,,,,0,pull-request-available,,"DataSinkWriterOperator just override org.apache.flink.streaming.api.operators.AbstractStreamOperator#initializeState,but not override org.apache.flink.streaming.api.operators.AbstractStreamOperator#snapshotState and org.apache.flink.streaming.api.operators.AbstractStreamOperator#processWatermark.
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Apr 29 03:52:40 UTC 2024,,,,,,,,,,"0|z1owv4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Apr/24 03:52;renqs;flink-cdc master: 23a67dcdb985f135e984e8e1afa8d1159946f95f

flink-cdc release-3.1: 759b2944968aec6de0aca97d1a5329ecaada1c56;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
build_wheels_on_macos failed,FLINK-35254,13577459,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,Weijie Guo,Weijie Guo,28/Apr/24 05:36,31/May/24 13:58,04/Jun/24 20:40,,1.20.0,,,,,,,,,,,Build System / CI,,,,0,,,"{code:java}
 ERROR: THESE PACKAGES DO NOT MATCH THE HASHES FROM THE REQUIREMENTS FILE. If you have updated the package versions, please update the hashes. Otherwise, examine the package contents carefully; someone may have tampered with them.
          unknown package:
              Expected sha256 f12932e5a6feb5c58192209af1d2607d488cb1d404fbc038ac12ada60327fa34
                   Got        1c61bf307881167fe169de79c02f46d16fc5cd35781e02a40bf1f13671cdc22c
      
      [end of output]

{code}

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59219&view=logs&j=f73b5736-8355-5390-ec71-4dfdec0ce6c5&t=90f7230e-bf5a-531b-8566-ad48d3e03bbb&l=288
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri May 31 13:58:45 UTC 2024,,,,,,,,,,"0|z1owuw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"13/May/24 14:03;rskraba;* 1.20 build_wheels_on_macos https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59476&view=logs&j=f73b5736-8355-5390-ec71-4dfdec0ce6c5&t=90f7230e-bf5a-531b-8566-ad48d3e03bbb&l=426
;;;","31/May/24 13:58;rskraba;* 1.18 build_wheels_on_macos https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59986&view=logs&j=f73b5736-8355-5390-ec71-4dfdec0ce6c5&t=90f7230e-bf5a-531b-8566-ad48d3e03bbb&l=204;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Translate ""State Processor API ""page into Chinese",FLINK-35253,13577455,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Invalid,drymartini,drymartini,drymartini,28/Apr/24 02:59,20/May/24 03:25,04/Jun/24 20:40,20/May/24 03:24,1.19.0,,,,,,,,1.19.0,,,chinese-translation,Documentation,,,0,pull-request-available,,The links are https://nightlies.apache.org/flink/flink-docs-release-1.19/zh/docs/libs/state_processor_api/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon May 20 03:24:05 UTC 2024,,,,,,,,,,"0|z1owu0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Apr/24 02:59;drymartini; Hi [~jark],could you assign this to me?;;;","28/Apr/24 05:40;Weijie Guo;Thanks, you are assigned.;;;","20/May/24 03:24;Weijie Guo;This page is already translated to Chinese in the master branch, I will close this ticket.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Update the operators marked as deprecated in the instance program on the official website,FLINK-35252,13577454,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,maomao,maomao,28/Apr/24 02:11,29/Apr/24 01:52,04/Jun/24 20:40,,,,,,,,,,,,,Examples,,,,0,,,"Update the operators marked as deprecated in the instance program on the official website.

!image-2024-04-28-10-07-36-248.png|width=386,height=199!

!image-2024-04-28-10-08-14-928.png|width=448,height=82!

The recommended usage now is
Duration.ofSeconds(5)
!image-2024-04-28-10-09-32-184.png|width=474,height=78!",,,,,,,,,,,,,,,,,,,,,,,,,,"28/Apr/24 02:05;maomao;image-2024-04-28-10-05-37-671.png;https://issues.apache.org/jira/secure/attachment/13068502/image-2024-04-28-10-05-37-671.png","28/Apr/24 02:07;maomao;image-2024-04-28-10-07-11-736.png;https://issues.apache.org/jira/secure/attachment/13068501/image-2024-04-28-10-07-11-736.png","28/Apr/24 02:07;maomao;image-2024-04-28-10-07-36-248.png;https://issues.apache.org/jira/secure/attachment/13068500/image-2024-04-28-10-07-36-248.png","28/Apr/24 02:08;maomao;image-2024-04-28-10-08-14-928.png;https://issues.apache.org/jira/secure/attachment/13068499/image-2024-04-28-10-08-14-928.png","28/Apr/24 02:09;maomao;image-2024-04-28-10-09-32-184.png;https://issues.apache.org/jira/secure/attachment/13068498/image-2024-04-28-10-09-32-184.png",,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Apr 28 02:12:57 UTC 2024,,,,,,,,,,"0|z1owts:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Apr/24 02:12;maomao;i am willing to contribute, can you assign this translation task to me.

Thanks.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchemaDerivation serializes mapping incorrectly on checkpoint,FLINK-35251,13577443,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,renqs,renqs,renqs,27/Apr/24 15:07,29/Apr/24 02:25,04/Jun/24 20:40,29/Apr/24 02:25,cdc-3.1.0,,,,,,,,cdc-3.1.0,,,Flink CDC,,,,0,pull-request-available,,"When schema registry is being serialized on checkpoint, SchemaDerivation mistakenly use `out.write()` instead of `out.writeInt()` for serializing the size of derivation mapping. This will cause an EOFException when the job is recovered from checkpoint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Apr 28 00:31:31 UTC 2024,,,,,,,,,,"0|z1owrc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Apr/24 00:31;leonard;fixed in 
master(3.2) via 9cc3451ddf6546317c4c3af1efbc68c2d745ef7d
3.1 via : 711bc0038cf46a8a07cce7a1d777a4fd370f7ee3;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Translate the ""Flink Operations Playground"" page into Chinese",FLINK-35250,13577441,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,,drymartini,drymartini,27/Apr/24 14:09,27/Apr/24 14:21,04/Jun/24 20:40,27/Apr/24 14:21,1.19.0,,,,,,,,1.19.0,,,chinese-translation,Documentation,,,0,,,"The links are 

https://nightlies.apache.org/flink/flink-docs-release-1.19/docs/try-flink/flink-operations-playground/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sat Apr 27 14:15:46 UTC 2024,,,,,,,,,,"0|z1owqw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Apr/24 14:15;drymartini; hi,[~jark] could you please assign this to me?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support DataGeneratorSource in PyFlink,FLINK-35249,13577421,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,vonesec,vonesec,27/Apr/24 07:47,30/Apr/24 02:39,04/Jun/24 20:40,,,,,,,,,,,,,API / Python,,,,0,,,"I notice DataGeneratorSource with Java has submitted in ""flink-connectors/flink-connector-datagen/src/main/java/org/apache/flink/connector/datagen/source/DataGeneratorSource.java"".

We could implement it in PyFlink, since flink-python component is not very active recently,  please assign it to me, I will create a PR for this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-27 07:47:30.0,,,,,,,,,,"0|z1owmg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support table/column comment to modify DDL,FLINK-35248,13577417,,New Feature,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,melin,melin,27/Apr/24 03:28,27/Apr/24 03:28,04/Jun/24 20:40,,,,,,,,,,,,,Flink CDC,,,,0,,,"Table and column comment changes are synchronized to downstream tables：
 
{code:java}
alter table orders comment '订单';  alter table orders modify address varchar(1024) null comment '地址'; {code}
 
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-27 03:28:48.0,,,,,,,,,,"0|z1owlk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade spotless apply to `2.41.1` in flink-connector-parent to work with Java 21,FLINK-35247,13577383,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,masc,masc,26/Apr/24 17:50,26/Apr/24 17:51,04/Jun/24 20:40,,connector-parent-1.1.0,,,,,,,,,,,Build System / CI,Connectors / Common,,,0,,,"Spotless apply version from flink-connector-parent does not work with Java 21

Issue found here: [https://github.com/apache/flink-connector-kafka/pull/98]

This is already fixed by spotless apply: [https://github.com/diffplug/spotless/pull/1920]

but also requires an upgrade to a later `google-java-format`",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-26 17:50:33.0,,,,,,,,,,"0|z1oweo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SqlClientSSLTest.testGatewayMode failed in AZP,FLINK-35246,13577326,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,Weijie Guo,Weijie Guo,Weijie Guo,26/Apr/24 08:57,03/May/24 15:54,04/Jun/24 20:40,26/Apr/24 13:19,,,,,,,,,1.20.0,,,Build System / CI,,,,0,pull-request-available,,"{code:java}
Apr 26 01:51:10 java.lang.IllegalArgumentException: The given host:port ('localhost/<unresolved>:36112') doesn't contain a valid port
Apr 26 01:51:10 	at org.apache.flink.util.NetUtils.validateHostPortString(NetUtils.java:120)
Apr 26 01:51:10 	at org.apache.flink.util.NetUtils.getCorrectHostnamePort(NetUtils.java:81)
Apr 26 01:51:10 	at org.apache.flink.table.client.cli.CliOptionsParser.parseGatewayAddress(CliOptionsParser.java:325)
Apr 26 01:51:10 	at org.apache.flink.table.client.cli.CliOptionsParser.parseGatewayModeClient(CliOptionsParser.java:296)
Apr 26 01:51:10 	at org.apache.flink.table.client.SqlClient.startClient(SqlClient.java:207)
Apr 26 01:51:10 	at org.apache.flink.table.client.SqlClientTestBase.runSqlClient(SqlClientTestBase.java:111)
Apr 26 01:51:10 	at org.apache.flink.table.client.SqlClientSSLTest.testGatewayMode(SqlClientSSLTest.java:74)
Apr 26 01:51:10 	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
Apr 26 01:51:10 	at java.base/java.util.concurrent.RecursiveAction.exec(RecursiveAction.java:194)
Apr 26 01:51:10 	at java.base/java.util.concurrent.ForkJoinTask.doExec(ForkJoinTask.java:387)
Apr 26 01:51:10 	at java.base/java.util.concurrent.ForkJoinPool$WorkQueue.topLevelExec(ForkJoinPool.java:1312)
Apr 26 01:51:10 	at java.base/java.util.concurrent.ForkJoinPool.scan(ForkJoinPool.java:1843)
Apr 26 01:51:10 	at java.base/java.util.concurrent.ForkJoinPool.runWorker(ForkJoinPool.java:1808)
Apr 26 01:51:10 	at java.base/java.util.concurrent.ForkJoinWorkerThread.run(ForkJoinWorkerThread.java:188)

{code}


https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59173&view=logs&j=26b84117-e436-5720-913e-3e280ce55cae&t=77cc7e77-39a0-5007-6d65-4137ac13a471&l=12418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri May 03 15:54:13 UTC 2024,,,,,,,,,,"0|z1ow28:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"26/Apr/24 08:58;Weijie Guo;{code:java}
InetSocketAddress.createUnresolved(
                                    SQL_GATEWAY_REST_ENDPOINT_EXTENSION.getTargetAddress(),
                                    SQL_GATEWAY_REST_ENDPOINT_EXTENSION.getTargetPort())
                            .toString()
{code}

The construction of  InetSocketAddress fails on Java 17 because the toString representation is not guaranteed to return something of the form host:port.;;;","26/Apr/24 13:19;Weijie Guo;master via 4e6dbe2d1a225a0d0e48fd0997c1f11317402e42.;;;","03/May/24 15:54;rskraba;* 1.20 Java 17 / Test (module: table) https://github.com/apache/flink/actions/runs/8842083488/job/24280428940#step:10:12462
* 1.20 Java 21 / Test (module: table) https://github.com/apache/flink/actions/runs/8842083488/job/24280416340#step:10:12463;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Add metrics for flink-connector-tidb-cdc,FLINK-35245,13577325,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Implemented,xieyi,xieyi,xieyi,26/Apr/24 08:50,07/May/24 01:15,04/Jun/24 20:40,07/May/24 01:15,,,,,,,,,cdc-3.2.0,,,Flink CDC,,,,0,pull-request-available,,"As [https://github.com/apache/flink-cdc/issues/985] had been closed, but it has not been resolved.

Create  a new issue to track this issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue May 07 01:15:21 UTC 2024,,,,,,,,,,"0|z1ow20:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/May/24 01:15;jiabaosun;Implemented via cdc-master: fa6e7ea51258dcd90f06036196618224156df367;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
